area,ward,winner,party,votes
Villiyappally,7,Safiya Edavanchattu Meethal,ML,552
Villiyappally,8,Mamullathil Jyothi,JD(S),547
Villiyappally,9,K.M. Babu,JD(S),712
Villiyappally,10,R. Balaram,CPI(M),558
Villiyappally,11,K.K .Bijula,CPI(M),701
Villiyappally,12,Pachiparambathu  Muhammed Haji,ML,539
Villiyappally,13,Vadakkayil Prameela,CPI(M),617
Villiyappally,14,Kodakkedu Babu,CPI(M),814
Villiyappally,15,E M Ravi,CPI(M),712
Villiyappally,16,C M Sudha,CPI(M),576
Villiyappally,17,M M Narayani teacher,CPI(M),506
Villiyappally,18,K M Pavithran,CPI(M),713
M_KY,1,Sudeesh Anappadikkal,CPI(M),601
M_KY,2,Bharathi Panachikunnummal,CPI(M),858
M_KY,3,Dasan K,CPI(M),1136
M_KY,4,Kunjikkanaran T K,CPI(M),750
M_KY,5,Suresh P T,CPI(M),639
M_KY,6,Balakrishnan Pandarakkandi Krishna,CPI(M),584
M_KY,7,Balan Nair Choledathu Sunil Nivas,CPI(M),737
M_KY,8,Nadari Bhaskaran,INC,574
M_KY,9,T P Ramadas,CPI(M),720
M_KY,10,P K Gangadharan,CPI(M),647
M_KY,11,Chandran T K,CPI(M),573
M_KY,12,T Binduraj,DIC(K),646
M_KY,13,Kappa Haridasan,DIC(K),556
M_KY,14,Anil Kumar R K,CPI(M),575
M_KY,15,Indira Teacher,CPI(M),547
M_KY,16,Girija Thettiyil,CPI(M),520
M_KY,17,Vijila K K,CPI(M),489
M_KY,18,Madhavan P V,CPI(M),880
M_KY,19,S N G SunilKumar,JD(S),836
M_KY,20,Rakhavan Thettathu,CPI(M),551
M_KY,21,P Krishnan,CPI(M),705
M_KY,22,K P Nanu,CPI(M),580
M_KY,23,Cheruvakkattu Raman,DIC(K),486
M_KY,24,S K Vinod,CPI(M),452
M_KY,25,Nottichikandi Nalini,CPI(M),646
M_KY,26,Mangottil Surendran (Baby),CPI(M),681
M_KY,27,Payattuvalappil Nalini,DIC(K),492
M_KY,28,K V Santhosh,CPI(M),558
M_KY,29,Shiji P K,BJP,805
M_KY,30,Rekha,BJP,277
M_KY,31,Adv.M V Malini,DIC(K),444
M_KY,32,Uslangantakathu Shameena,INDEPENDENT,490
M_KY,33,Ashraf Marakkarakathu,ML,491
M_KY,34,Puthiya Velikkakathu Sulaikha,INL,351
M_KY,35,Azees,ML,295
M_KY,36,Bhagavathykandi Krishnan,CPI(M),401
M_KY,37,UnniKrishnan A P,CPI(M),514
M_KY,38,Padmini,CPI(M),487
M_KY,39,Sarasa Thazhathevalappil,CPI(M),385
M_KY,40,Chenothu Latha,NCP,474
M_KY,41,Fathima,ML,362
M_VD,1,Sahadevan Koyante Veedu,INC,414
M_VD,2,Mukkolakkal Hamsa,INL,443
M_VD,3,Purathayil Mahamood,INDEPENDENT,399
M_VD,4,Omana A V,CPI(M),665
M_VD,5,Prabhakaran V K,INC,413
M_VD,6,Sathy M,JD(S),549
M_VD,7,Vimala Teacher P P,CPI,511
M_VD,8,Bhaskaran T,CPI(M),564
M_VD,9,Reena K P,CPI(M),594
M_VD,10,Kelu T,INC,564
M_VD,11,Krishnan Master E M,CPI(M),661
M_VD,12,Koneth Ajitha,CPI(M),657
M_VD,13,Koyiloth Thazhekuniyil Baby Praseetha,CPI(M),615
M_VD,14,Savitha V P,CPI(M),664
M_VD,15,Edayath Sreedharan,JD(S),623
M_VD,16,Vanaja K K,JD(S),572
M_VD,17,Vijayan P K,CPI(M),917
M_VD,18,Dasan  V P,CPI(M),691
M_VD,19,Kolothu Pushpaveni,CPI(M),682
M_VD,20,Gangadharan,INC,514
M_VD,21,Achuthan Master P,INDEPENDENT,521
M_VD,22,Narayani M,CPI(M),447
M_VD,23,Ramani M,CPI(M),666
M_VD,24,Kunjabdulla Master T,CPI(M),459
M_VD,25,Sudeer Kumar T V,INC,587
M_VD,26,Musthafa Master P M,ML,560
M_VD,27,Ahammad M P,ML,571
M_VD,28,Parol Indira,CPI(M),547
M_VD,29,Sahira M,ML,636
M_VD,30,Ashraf T P,ML,354
M_VD,31,Nanu C H,CPI(M),517
M_VD,32,Mohanan A P,CPI(M),546
M_VD,33,Kunjikkannan,CPI(M),710
M_VD,34,Rajan C K,CPI(M),845
M_VD,35,Geetha P,CPI,531
M_VD,36,Kumaran M,CPI(M),441
M_VD,37,Chandran T P,CPI(M),1056
M_VD,38,Safiya P,ML,541
M_VD,39,Jamal P K,ML,606
M_VD,40,Khalid Master,ML,608
M_VD,41,Ryhanathu Padayantavida,ML,450
M_VD,42,Shabana T H,ML,598
M_VD,43,Mikhdad Thayyil,INDEPENDENT,636
M_VD,44,Muhammed Rafi P P,ML,523
M_KD,1,K Subair,CPI(M),2072
M_KD,2,M Sreeja,CPI(M),2062
M_KD,3,Pushpalatha,DIC(K),1706
M_KD,4,M Bhaskaran,CPI(M),3034
M_KD,5,K Ratheedevi,CPI(M),1809
M_KD,6,M Mahendran Master,CPI(M),2107
M_KD,7,Anilkumar K C,INDEPENDENT,1704
M_KD,8,P K Mamukoya,INC,1558
M_KD,9,T K Venu,CPI(M),1252
M_KD,10,Adv. Prathapkumar,CPI(M),2007
M_KD,11,P T Vasunnikurup,DIC(K),2163
M_KD,12,Prameela Balagopal,DIC(K),1941
M_KD,13,K K Kunjimon,ML,1510
M_KD,14,P K Salini,CPI(M),2401
M_KD,15,V M Muhammad,CPI(M),1482
M_KD,16,V Sureshmaster,CPI(M),1951
M_KD,17,E M Girija,CPI(M),2592
M_KD,18,M P Suresh,CPI(M),2368
M_KD,19,Prof.M P Sethumadhavan Nair,CPI(M),2622
M_KD,20,Anilkumar M C,CPI(M),1955
M_KD,21,M K Sheeba,CPI(M),2167
M_KD,22,M Thankam,CPI(M),1677
M_KD,23,Manakkal Sasi,INC,1659
M_KD,24,K T Beerankoya,ML,2004
M_KD,25,C V Gireesh,CPI(M),1999
M_KD,26,Kanangottu Haridasan,CPI(M),2435
M_KD,27,P K Nassar,CPI,1630
M_KD,28,E C Satheesan,CPI,734
M_KD,29,K Najma,CPI(M),2311
M_KD,30,Suhara Avaran,ML,2666
M_KD,31,Chalana Sreemathi,DIC(K),1302
M_KD,32,Meladi Narayanan,CPI(M),2446
M_KD,33,A T Moideenkoya,ML,2350
M_KD,34,A M Mariyam Teacher,INL,2071
M_KD,35,Sobhana Thattari,NCP,1755
M_KD,36,Adv. H A Musthafa,CPI(M),2252
M_KD,37,Padiyeri Gopalakrishnan,JD(S),1575
M_KD,38,Jameela,CPI(M),2213
M_KD,39,V Prasanna,CPI(M),2252
M_KD,40,MAMMOOTH KOYA,DIC(K),1439
M_KD,41,Sakkaria P Hussain,INC,1838
M_KD,42,Hansa Jayanth,JD(S),1551
M_KD,43,Adv. Thomas Mathew T,JD(S),1830
M_KD,44,P DIVAKARAN,CPI(M),2017
M_KD,45,Anitha Rajan,DIC(K),1741
M_KD,46,M Krishnan,CPI(M),2283
M_KD,47,Sherly Pramod,DIC(K),1910
M_KD,48,Adv. U T Rajan,DIC(K),1357
M_KD,49,C K Renukadevi,CPI(M),1933
M_KD,50,POTTANGADI KISHANCHAND,JD(S),1793
M_KD,51,P Mamukoya Haji,ML,2188
M_KD,52,K V Baburaj,CPI(M),2233
M_KD,53,Prof.P T Abdul Latheef,CPI(M),1959
M_KD,54,Adv. V V Sivadasan,CPI(M),1884
M_KD,55,Asha Asokan,CPI,1986
