area,ward,winner,party,votes
Kozhikode,41,Sakkaria P Hussain,INC,1838
Kozhikode,42,Hansa Jayanth,JD(S),1551
Kozhikode,43,Adv. Thomas Mathew T,JD(S),1830
Kozhikode,44,P DIVAKARAN,CPI(M),2017
Kozhikode,45,Anitha Rajan,DIC(K),1741
Kozhikode,46,M Krishnan,CPI(M),2283
Kozhikode,47,Sherly Pramod,DIC(K),1910
Kozhikode,48,Adv. U T Rajan,DIC(K),1357
Kozhikode,49,C K Renukadevi,CPI(M),1933
Kozhikode,50,POTTANGADI KISHANCHAND,JD(S),1793
Kozhikode,51,P Mamukoya Haji,ML,2188
Kozhikode,52,K V Baburaj,CPI(M),2233
Kozhikode,53,Prof.P T Abdul Latheef,CPI(M),1959
Kozhikode,54,Adv. V V Sivadasan,CPI(M),1884
Kozhikode,55,Asha Asokan,CPI,1986
