Balussery,1,KARUVANNUR,K BALAKRISHNAN,CPI,General
Balussery,2,KOTTUR,SANKARAN MASTER N,CPI(M),General
Balussery,3,VAKAYAD,AJITHA CHETTIANKANDY,CPI(M),Woman
Balussery,4,KOORACHUNDU,GEETHA CHANDRAN,INC,Woman
Balussery,5,PANANGAD,K BALAKRISHNAN,CPI(M),SC
Balussery,6,THALAYAD,NASEERA HABEEB,ML,Woman
Balussery,7,KINALUR,RAMLA V,NCP,Woman
Balussery,8,EKAROOL,LATHA BALAGOPALAN,INC,Woman
Balussery,9,POONOOR,PREMALATHA O M,ML,SC Woman
Balussery,10,SIVAPURAM,SREEMATHY M,CPI(M),Woman
Balussery,11,BALUSSERY,A P PRAKASAN,INC,General
Balussery,12,KOKKALLUR,PRAMEELA V M,CPI(M),Woman
Balussery,13,ULLIYERI,A K MANI,CPI(M),General
Balussery,14,KANNOOR,DAMODARAN E M,CPI(M),General
Balussery,15,NADUVANNUR,N ALI,CPI(M),General
Panthalayani,1,KADALOOR,RASHEEDA P,ML,Woman
Panthalayani,2,CHINGAPURAM,VIJAYARAGHAVAN K,CPI(M),General
Panthalayani,3,MOODADI,GOPI P.K,CPI,General
Panthalayani,4,ARIKKULAM,RADHA C,CPI(M),Woman
Panthalayani,5,KARAYADU,NARAYANAN K.K,CPI(M),General
Panthalayani,6,MODAKKALLUR,PREMA POYILIL,CPI(M),Woman
Panthalayani,7,ATHOLI,OMANA P.M,CPI(M),Woman
Panthalayani,8,THIRUVANGOOR,SUNITHA T,CPI(M),Woman
Panthalayani,9,VENGALAM,CHANDRAHASAN,CPI(M),General
Panthalayani,10,KAPPAD,ANILKUMAR PANALIL,INC,SC
Panthalayani,11,CHEMANCHERI,GIRIJA T,INC,Woman
Panthalayani,12,EDAKKULAM,KOYA K.T.M,NCP,General
Panthalayani,13,MELOOR,SUDHA M.P,INC,Woman
Chelannur,1,CHEEKKILODE,ABOOBACKER. P,CPI(M),General
Chelannur,2,NANMINDA,AJITHA. T,NCP,Woman
Chelannur,3,PUNNASSERY,NISHA T.K,INC,Woman
Chelannur,4,PANNIKKOTTUR,LAILA. C.P,ML,Woman
Chelannur,5,NARIKKUNI,GOPALAN. T.P,SJ(D),General
Chelannur,6,KAKKUR,BUSHRA. K,INC,Woman
Chelannur,7,CHELANNUR,CHANDRI. M.M,ML,SC Woman
Chelannur,8,PALATH,RAJENDRAN. M.K,CPI(M),General
Chelannur,9,KAKKODI,MALATHI. C.,CPI(M),Woman
Chelannur,10,MORIKKARA,BALAN. N,CPI(M),General
Chelannur,11,OLOPPARA,GOPALAN. N.M,CPI(M),SC
Chelannur,12,PARAMBATH,BINDU A.K,CPI(M),Woman
Chelannur,13,ANNASSERY,SATHIAN P.K,CPI(M),General
Koduvally,1,KATTIPPARA,HAMZA HAJI K.K,INC,General
Koduvally,2,ENGAPPUZHA,REENA BASHEER,SJ(D),Woman
Koduvally,3,KAITHAPOYIL,SUBAIDHA NAJEEB T.P,ML,Woman
Koduvally,4,NELLIPOYIL,VIJAYAN E.K,INC,SC
Koduvally,5,ANAKKAMPOYIL,T.M.JOSEPH THONIPPARA,KC(M),General
Koduvally,6,KOODARANHI,JOSHY JOHNY,KC(M),Woman
Koduvally,7,THIRUVAMBADY,BOSE JACOB,INC,General
Koduvally,8,KODENCHERI,ANNIE JOHN,INC,Woman
Koduvally,9,KOODATHI,KUNHAYIN. P.P,INC,General
Koduvally,10,OMASSERY,SUPER SOUDHA TEACHER,ML,Woman
Koduvally,11,KAREETTIPPARAMBU,SAFEENA K.K,SJ(D),Woman
Koduvally,12,KODUVALLY,KARATT ABDHUL RAZAK,ML,General
Koduvally,13,MADAVOOR,BABY KAPPADAKKAL K,INC,Woman
Koduvally,14,CHALIKKODE,ALI K.K,INC,General
Koduvally,15,KIZHAKKOTH,SYAMALA RAVEENDRAN K.M,ML,SC Woman
