area,ward,wardname,winner,party,quota,lsgi
Narikunni,15,Kodoli,RASHIDA K.P,INC,Woman,G_NI
Narippatta,1,PAYYEKKANDY,K.BABU,CPI(M),General,G_NR
Narippatta,2,KUMBALACHOLA,P.SUJATHA,CPI(M),Woman,G_NR
Narippatta,3,VALOOK,LILLY JOERGE,KC(M),Woman,G_NR
Narippatta,4,MULLAMBATH,K.M.NANU,CPI(M),General,G_NR
Narippatta,5,NADUTHARA,A.P.BEENA,CPI(M),Woman,G_NR
Narippatta,6,THAVULLAKOLLY,C.K.VIJAYI,CPI(M),Woman,G_NR
Narippatta,7,MUNDYODE,M.P.PADMINI,CPI,Woman,G_NR
Narippatta,8,KAIVELI,T.P.PAVITHRAN,CPI(M),General,G_NR
Narippatta,9,CHAMBILORA,RAJEESH. U.,CPI(M),SC,G_NR
Narippatta,10,KAYAKKOOL,GEETHA THARAMAL,INC,Woman,G_NR
Narippatta,11,KANDOTHKUNI,SAKKEENA HYDER,ML,Woman,G_NR
Narippatta,12,MANNYOOR,T.M.KANNAN,CPI(M),General,G_NR
Narippatta,13,THAZHENARIPPATTA,BISHA. V.K.,INC,Woman,G_NR
Narippatta,14,CHEVITTUPARA,T.P.MUTHUKKOYA THANGAL,ML,General,G_NR
Narippatta,15,KOYYAL,K.P.LEELA,CPI(M),Woman,G_NR
Narippatta,16,KAKKUZHIPEEDIKA,T. MUHAMMADALI,ML,General,G_NR
Narippatta,17,THINOOR,C.K.NANU,INC,General,G_NR
Nochad,1,AKKOOPARAMBU,BABURAJ K.C,CPI(M),General,G_NO
Nochad,2,VALYAKODE,SARADA P.N,CPI(M),Woman,G_NO
Nochad,3,VALYAKODE EAST,SREEDHARAN K,CPI(M),General,G_NO
Nochad,4,KALOLI POYIL,SHYAMALA K,CPI(M),Woman,G_NO
Nochad,5,CHENOLI,LEELA K.K,CPI(M),SC Woman,G_NO
Nochad,6,PUTTAD,SOBHANA  VAISAKH VAISAKH,CPI(M),Woman,G_NO
Nochad,7,NADUKKANDYPARA,SUSEELA P.M,CPI(M),Woman,G_NO
Nochad,8,KAYAL MUKKU,VALSALA E,CPI(M),Woman,G_NO
Nochad,9,VALOOR,INDIRA M,CPI(M),Woman,G_NO
Nochad,10,VELLIYUR,EDAVANA SURENDRAN,CPI(M),General,G_NO
Nochad,11,CHALIKKARA,MADHUKRISHNAN K,INC,General,G_NO
Nochad,12,MULIYANGAL,SUDHA M.K.,CPI(M),Woman,G_NO
Nochad,13,NANHOORA,DAMODARAN T.M,CPI(M),General,G_NO
Nochad,14,HEALTH CENTRE,KUNHIMOIDY C.K,CPI(M),General,G_NO
Nochad,15,NOCHAD,AJEESH C.K.,CPI(M),General,G_NO
Nochad,16,RAMALLUR,BINDU T,CPI,Woman,G_NO
Nochad,17,KALPATHUR,CHANDRAN K,CPI(M),SC,G_NO
Olavanna,1,IRINGALLOOR,SREEJA.V.,CPI(M),Woman,G_OL
Olavanna,2,PALAZHI - PALA,N.P.BALAN,INC,General,G_OL
Olavanna,3,PALAZHI WEST,C.K.KRISHNAN,INC,SC,G_OL
Olavanna,4,PALAZHI  EAST,K.K.KOYA,ML,General,G_OL
Olavanna,5,PANTHEERANKAVE NORTH,T.T. PRASANTH,CPI(M),General,G_OL
Olavanna,6,PANTHEERANKAVE SOUTH,SUGATHAN,CPI(M),General,G_OL
Olavanna,7,POOLENKARA,CHOLAKKAL RAJANDRAN,INC,General,G_OL
Olavanna,8,MUTHUVANATHARA,MADHAVAN PULLUVALAPPIL,INC,General,G_OL
Olavanna,9,MANAKKADAVU,PILAKKUNNATH JAYASREE.K,CPI(M),Woman,G_OL
Olavanna,10,KODAL NADAKKAVE,K.M.KRISHNAN KUTTY,INDEPENDENT,General,G_OL
Olavanna,11,MOORKKANAD,P.P.ABDUL LATHEEF,ML,General,G_OL
Olavanna,12,CHATHOTHARA,PUSHPALATHA.K,CPI(M),Woman,G_OL
Olavanna,13,KODINATTUMUKKU,SHEEBA.K,CPI,Woman,G_OL
Olavanna,14,PALAKKURUMBA,SATHI DEVI.P,CPI(M),Woman,G_OL
Olavanna,15,OLAVANNA,LALITHA.M,CPI(M),Woman,G_OL
Olavanna,16,THONDILAKKADAVU,SHYJA.V.,CPI(M),Woman,G_OL
Olavanna,17,KAYATTI,SUBHA,CPI(M),Woman,G_OL
Olavanna,18,ODUMBRA,THANKAMANI.K,CPI(M),Woman,G_OL
Olavanna,19,KAMBILIPARAMBA,VELLARIKKAL MUSTHAFA,ML,General,G_OL
Olavanna,20,KUNNATHUPALAM,V.VALSALA,CPI(M),Woman,G_OL
Olavanna,21,M.G.NAGAR,SHEEBA DASAN,CPI(M),Woman,G_OL
Olavanna,22,MATHARA,MANOJ PALATHODI,CPI(M),General,G_OL
Olavanna,23,KONTHANARI,RAMANI KRISHNANDAS,INDEPENDENT,Woman,G_OL
Omassery,1,KOODATHAI,K M KOMALAVALLY,ML,Woman,G_OM
Omassery,2,KAKKADAKUNNU,K P SADASIVAN,CPI(M),General,G_OM
Omassery,3,CHEMMARUTHAI,SHINDHU SHAJI,INC,SC Woman,G_OM
Omassery,4,PERUVILLY,GRACY,INC,Woman,G_OM
Omassery,5,KOROTHIRI,BIJU P R,CPI(M),SC,G_OM
Omassery,6,OMASSERY EAST,FATHIMA MOOSSA,INDEPENDENT,Woman,G_OM
Omassery,7,OMASSERY WEST,U K FATHIMA ABU,ML,Woman,G_OM
Omassery,8,AMBALAKKANDY,K T MUHAMMED,ML,General,G_OM
Omassery,9,ALLUMTHARA,P P MOIDEENKUTTY,ML,General,G_OM
Omassery,10,VENNAKKODE,BABU KOLKOTH,INDEPENDENT,General,G_OM
Omassery,11,NADAMALPOYIL,C K KADEEJA MUHAMMED,ML,Woman,G_OM
Omassery,12,KANIYARKANDAM,RAFEENATHLUKHAN,ML,General,G_OM
Omassery,13,KOLATHAKKARA,ABDULLA KUTTY,ML,General,G_OM
Omassery,14,VELIMANNA,SAKEENA K T,ML,Woman,G_OM
Omassery,15,PUTHUR,ABDULNASSER,ML,General,G_OM
Omassery,16,MANGAD WEST,SAILAJA,CPI(M),Woman,G_OM
Omassery,17,MANGAD EAST,K K RADHAKRIISHNAN,CPI(M),General,G_OM
Omassery,18,CHAKKIKAVE,LEELA E P,CPI(M),Woman,G_OM
Omassery,19,MEPPALLY,JURAINA P K,INDEPENDENT,Woman,G_OM
Onchiyam,1,MADAKKARA,PRAMEELA .A.K,CPI(M),Woman,G_ON
Onchiyam,2,K P R NAGAR,ASHRAF VATTACHALIL,INDEPENDENT,General,G_ON
Onchiyam,3,MALOLKKUNNU,KAVITHA .P.V,INDEPENDENT,Woman,G_ON
Onchiyam,4,CHAMAKKUNNU,VALLIL MAHAMOOD,ML,General,G_ON
Onchiyam,5,PUTHIYOTTUMKANDI,BABY GIRIJA .K,INDEPENDENT,Woman,G_ON
Onchiyam,6,ONCHIYAM,M. M. KUMARAN MASTER,INDEPENDENT,General,G_ON
Onchiyam,7,THAYYIL,CHANDRI .O. K,INDEPENDENT,Woman,G_ON
Onchiyam,8,VELLIKULANGARA,JAYARAJAN .P,INDEPENDENT,General,G_ON
Onchiyam,9,VALLATHKUNNU,SOBHA .T .V .K,CPI(M),Woman,G_ON
Onchiyam,10,NADAPURAM ROAD,RANJITH .C .P,INDEPENDENT,General,G_ON
Onchiyam,11,ARAKKAL,SARADA .V,INC,Woman,G_ON
Onchiyam,12,ARAKKALA KIZHAKKU,SHYLAJA .P. M,CPI(M),Woman,G_ON
Onchiyam,13,DISPENSARY,RAGHAVAN .K .K,INDEPENDENT,SC,G_ON
Onchiyam,14,MADAPPALLY COLLEGE,JANARDHANAN .V .P,CPI(M),General,G_ON
Onchiyam,15,KANNUVAYAL,RAGHAVAN MASTER .M,SJ(D),General,G_ON
Onchiyam,16,KELUBAZAR BEACH,PRAMEELA .P .R,CPI(M),Woman,G_ON
Onchiyam,17,VALIYA MADAKKARA,SHEENA .T,ML,Woman,G_ON
Panangad,1,KANNADIPOYIL,ISMAIL KURUMPOYIL,CPI(M),General,G_PN
Panangad,2,KURUMPOYIL,PRATHIBHA V,CPI(M),Woman,G_PN
Panangad,3,VAYALADA,RATHI SURESH,CPI(M),SC Woman,G_PN
Panangad,4,THALAYAD,LALY RAJU,INC,Woman,G_PN
Panangad,5,PADIKKALVAYAL,SAJITHA KOLANIYIL,ML,Woman,G_PN
Panangad,6,MANKAYAM,SHAJI.K. PANIKKAR,NCP,General,G_PN
Panangad,7,EZHUKANDY,BUSHARA NADAMMAL,ML,Woman,G_PN
Panangad,8,PALAMTHALA,SAJITHA,ML,Woman,G_PN
Panangad,9,POOVAMBAI,RADHA POYIL,CPI(M),Woman,G_PN
Panangad,10,RAROTHMUKKU,HAMEEDA KABEER,INDEPENDENT,Woman,G_PN
Panangad,11,CHINDRAMANGALAM,ABU .N.K,INC,General,G_PN
Panangad,12,VATTOLI,NIJESH ARAVIND,INC,General,G_PN
Panangad,13,ARAPEEDIKA,M.PRABHAKARAN MASTER,CPI(M),General,G_PN
Panangad,14,MUNDAKKARA,RAVEENDRAN P.K,CPI(M),General,G_PN
Panangad,15,THIRUVANCHERIPOYIL,AJITH KUMAR . R.K,INC,General,G_PN
Panangad,16,KARAYATHODI,P.K.SUNEER,CPI(M),General,G_PN
Panangad,17,KATTAMBALLI,UNNI VARIYATH,CPI(M),General,G_PN
Panangad,18,NIRAMMALUR,KAMALA M.K,CPI(M),SC Woman,G_PN
Panangad,19,PANANGAD NORTH,JASITHA M.K,CPI(M),Woman,G_PN
Panangad,20,KATTOD,ANANDAN,SJ(D),SC,G_PN
Payyoli,1,KOTTAKKAL,ABITHA..K.M,ML,Woman,G_PA
Payyoli,2,KOTTAKKAL EAST,REENA NARANGOLI,INDEPENDENT,Woman,G_PA
Payyoli,3,MOORAD,SHEENA.K.T,CPI(M),Woman,G_PA
Payyoli,4,PERINGAD,BIJISHA.V.V.M,INC,Woman,G_PA
Payyoli,5,IRINGAL NORTH,USHA ERANJATTIL,CPI(M),Woman,G_PA
Payyoli,6,IRINGAL,JAYASREE.K,CPI(M),Woman,G_PA
Payyoli,7,AYANIKKAD,NAZEER.A,CPI(M),General,G_PA
Payyoli,8,AYANIKKAD SOUTH,PATHMINI.K,CPI(M),Woman,G_PA
Payyoli,9,KIZHUR NORTH,MADATHIL ABDURAHIMAN,ML,General,G_PA
Payyoli,10,KIZHUR,MADATHIL NANUMASTER,INC,General,G_PA
Payyoli,11,KOVVAPPURAM,P.T.RAGHAVAN,SJ(D),General,G_PA
Payyoli,12,THACHANKUNNU,HOULATH.C.P,ML,Woman,G_PA
Payyoli,13,PAYYOLI EAST,LIKHESH,CPI(M),SC,G_PA
Payyoli,14,PAYYOLI TOWN,FATHIMA.,ML,Woman,G_PA
Payyoli,15,PAYYOLI BHAJANAMADAM,K.K.PREMAN,CPI(M),General,G_PA
Payyoli,16,PAYYOLI WEST,V.K.ABDURAHIMAN,ML,General,G_PA
Payyoli,17,KANNAMKULAM,BALAKRISHNAN.P,INC,General,G_PA
Payyoli,18,PUTHANMARACHAL,RIYAS.P.M,ML,General,G_PA
Payyoli,19,CHATHAMANGALAM,SHYBU MOOLAYIL,INDEPENDENT,General,G_PA
Payyoli,20,KURIYADITHARA,K.T.SINDHU,INC,Woman,G_PA
Payyoli,21,KOLAVI,C.K.RAJAMMA TAECHER,CPI(M),Woman,G_PA
Payyoli,22,ARUVAYIL,PADANNAYIL PRABHAKARAN,INC,General,G_PA
Payyoli,23,CHETHILTHARA,INDIRA.KOLAVI,INC,Woman,G_PA
Perambra,1,EDAVARAD,RATHI K M,NCP,Woman,G_PE
Perambra,2,KAIPRAM,SINDHU N. M.,SJ(D),Woman,G_PE
Perambra,3,KALLODE NORTH,SHOBHANA N,INC,Woman,G_PE
Perambra,4,KALLODE SOUTH,SUNITHA C. K.,INC,Woman,G_PE
Perambra,5,COLLEGE,KRISHNAN T.M .,CPI(M),SC,G_PE
Perambra,6,MOYOTHCHAL,INDULEKHA K,CPI(M),Woman,G_PE
Perambra,7,MENHANIAM,KUMARAN T. K.,CPI(M),General,G_PE
Perambra,8,PANDIKODE,ABDURAHIMAN P.,ML,General,G_PE
Perambra,9,KODERICHAL,SARASWATHI M.,CPI(M),Woman,G_PE
Perambra,10,MARUTHERI,ASOKAN C .K.,CPI(M),General,G_PE
Perambra,11,UNNIKKUNNU,KUNHANANDAN T. P.,CPI(M),General,G_PE
Perambra,12,PERAMBRA TOWN,RAJASREE K.P.,INDEPENDENT,Woman,G_PE
Perambra,13,KAKKAD,JANU. KANIYANKANDY K.,INC,SC Woman,G_PE
Perambra,14,AMBALITHAZHA,MINI VATTAKANDY A. C,INC,Woman,G_PE
Perambra,15,KIZHINHANNIAM,KOOLIKANDY KAREEM K.K .,INDEPENDENT,General,G_PE
Perambra,16,PARAPPURAM,RAJAN K.K.,INC,General,G_PE
Perambra,17,AKKUPARAMBU,BALAN MASTER P,CPI(M),General,G_PE
Perambra,18,ERAVATTOOR,NAFEESA K.,CPI(M),Woman,G_PE
Perambra,19,ERATHMUKKU,KUNHIKANNAN MASTER M. K.,CPI(M),General,G_PE
Perumanna,1,PAYYADI MEETHAL,JISHA V.C,CPI(M),Woman,G_PM
Perumanna,2,PAYYADI THAZHAM,SAINABA.C,INC,Woman,G_PM
Perumanna,3,PARAKKOTTU THAZHAM,RAJANI.M,INC,Woman,G_PM
Perumanna,4,PERUMANNA NORTH,RUHAIMATH.U.K,ML,Woman,G_PM
Perumanna,5,ARATHIL PARAMBU,T.SAIDUTTY,INC,General,G_PM
Perumanna,6,PERUMAN PURA,SHAJI PUTHALATH,CPI(M),General,G_PM
Perumanna,7,THAYYIL THAZHAM,M.P.RAJEEV,CPI(M),General,G_PM
Perumanna,8,PARAMMAL,VIJAYAN VILAKKUMADAM,CPI(M),SC,G_PM
Perumanna,9,NERADU KUNNU,BEENA .KOTTAYI,INC,Woman,G_PM
Perumanna,10,VELLAYIKODE,AHAMMED.K,ML,General,G_PM
Perumanna,11,PERUMANNA SOUTH,V.P.SYAMKUMAR,CPI(M),General,G_PM
Perumanna,12,PARAKANDAM,USHA,INC,Woman,G_PM
Perumanna,13,PUTHOORMADAM,SOUDABI,ML,Woman,G_PM
Perumanna,14,ILLATHU THAZHAM,K.KRISHNAN,CPI(M),General,G_PM
Perumanna,15,VALLIKUNNU,BINDU.T.M,CPI(M),Woman,G_PM
Perumanna,16,AMBILOLI,SAMEERA.M,ML,Woman,G_PM
Perumanna,17,PARAKULAM,ANIL KUMAR,CPI,General,G_PM
Perumanna,18,NEDUMPARAMB,PEETHAMBARAN.A.P,INC,General,G_PM
Peruvayal,1,PERINGALAM  NORTH,SUDHA K,CPI(M),Woman,G_PR
Peruvayal,2,PERINGALAM,ASMABI. P,ML,Woman,G_PR
Peruvayal,3,MUNDAKAL,MANJUSHA K.K,CPI(M),SC Woman,G_PR
Peruvayal,4,CHERUKULTHOOR,ANITHA P,CPI(M),Woman,G_PR
Peruvayal,5,PARIYANGADU,CHANDRASHEKARAN T . M,CPI(M),General,G_PR
Peruvayal,6,PARIYANGADU WEST,MUSTHAFA  HAJI P . P,ML,General,G_PR
Peruvayal,7,PERUVAYAL NORTH,MAMU V.K,INL,General,G_PR
Peruvayal,8,PERUVAYAL,SADHASIVAN C.M,INC,General,G_PR
Peruvayal,9,KAYALAM,SUBITHA THOTTANCHERI M .P,INC,Woman,G_PR
Peruvayal,10,PERUVAYAL WEST,FASEELA C.K,INDEPENDENT,Woman,G_PR
Peruvayal,11,POOVATTU PARAMBU EAST,SEEMA K.V,INC,Woman,G_PR
Peruvayal,12,ALUVANPILAKKEL,KUNNUMMEL  SULAIGA K,ML,Woman,G_PR
Peruvayal,13,POOVATTUPARAMBU WEST,SHARAFUDHEEN P .K,ML,General,G_PR
Peruvayal,14,THADAPARAMBU,PENGATTIL RADHAKRISHNAN P,BJP,General,G_PR
Peruvayal,15,KUTTIKKATTOR SOUTH,POTHATHE  MUHAMMED P,ML,General,G_PR
Peruvayal,16,PERIYA,SAKKEENA THAZHEKKIYALATHU T .K,ML,Woman,G_PR
Peruvayal,17,KEEZHMZDU,MUKUNDHAN PATTONATHIL,CPI(M),General,G_PR
Peruvayal,18,VELLIPARAMBA,ANITHA T,CPI(M),Woman,G_PR
Peruvayal,19,VELLIPARAMBA  NORTH,AHAMMED KOYA T .K,CPI(M),General,G_PR
Peruvayal,20,VELLIPARAMBA   EAST,GANESHEN K .M,CPI(M),SC,G_PR
Peruvayal,21,GOSALIKKUNNU,MINI K.T,CPI,Woman,G_PR
Peruvayal,22,KUTTIKKATTOR,ANEESH KUMAR P,INC,General,G_PR
Puduppady,1,KANNAPPANKUND,BIJU THANNIKAKUZHY,INC,General,G_PD
Puduppady,2,MATTIKKUNN,SHIJU ISSAC,INC,General,G_PD
Puduppady,3,VALLIYAD,MUHAMMED ASHRAF,ML,General,G_PD
Puduppady,4,MUPPETHEKKARA,HUSSAINKUTTY V.K,ML,General,G_PD
Puduppady,5,KANALAD,BINDU UDAYAN,INC,Woman,G_PD
Puduppady,6,ADIVARAM,SINDHU JOY,ML,Woman,G_PD
Puduppady,7,ELIKKADU,NAFEESA JAMAL,ML,Woman,G_PD
Puduppady,8,KAITHAPOYIL,RAMLA RAZAK.C,ML,Woman,G_PD
Puduppady,9,WEST KAITHAPOYIL,SHARADHA,CPI(M),Woman,G_PD
Puduppady,10,ODUNGAKKAD,K.AYISHAKUTTY SULTHAN,INC,Woman,G_PD
Puduppady,11,KUPPAYAKKODE,AMBICA,INC,SC Woman,G_PD
Puduppady,12,MAMMUNNIPPADI,MOLY ANTO,KC(M),Woman,G_PD
Puduppady,13,KOTTARAKKOTH,SHAMSEER,ML,General,G_PD
Puduppady,14,KAVUMPURAM,VASANTHI RAJAN,CPI(M),Woman,G_PD
Puduppady,15,PERUMPALLY,ABDUL MAJEED.P.P,INC,General,G_PD
Puduppady,16,MALAPURAM,ALEEMA HASSAN,ML,Woman,G_PD
Puduppady,17,ELOKKARA,SAFEERA JABBAR,ML,Woman,G_PD
Puduppady,18,EANGAPUZHA,C.A.MUHAMMED,ML,General,G_PD
Puduppady,19,VANIKKARA,P.C.MATHEW,INC,General,G_PD
Puduppady,20,KARIKULAM,P.P.MUHAMMAD MASTER,INC,General,G_PD
Puduppady,21,KAKKAVAYAL,SODHARI,INC,SC,G_PD
Purameri,1,HIGHSCHOOL,VANAJA K.P,CPI(M),Woman,G_PU
Purameri,2,PURAMERI,A.K.JANU,CPI(M),Woman,G_PU
Purameri,3,PURAMERI THERU,RAJAN,CPI(M),General,G_PU
Purameri,4,VILATHAPURAM,REENA.M.K,CPI(M),Woman,G_PU
Purameri,5,ELAYIDAM,N.T.RAJESH,CPI(M),SC,G_PU
Purameri,6,VATTAPOYIL,FOUSIYA KUNHAMAD,ML,Woman,G_PU
Purameri,7,NADEMMAL,T.P.ANIL,CPI(M),General,G_PU
Purameri,8,NADAKKUMEETHAL,V.K.PRAMOD,CPI(M),General,G_PU
Purameri,9,AROOR,V.P.KAMALA,CPI(M),Woman,G_PU
Purameri,10,KALLUMPURAM,K.SUNITHA,CPI,Woman,G_PU
Purameri,11,PIRAKINKAD,P.SREELATHA,INC,Woman,G_PU
Purameri,12,PERUMUNDASSERI,ADV.MANOJ AROOR,CPI(M),General,G_PU
Purameri,13,KUNINGAD,VIJAYAN.C.M,CPI(M),General,G_PU
Purameri,14,KUNHALLUR,AJITH.P,INC,General,G_PU
Purameri,15,ARAMVALLY,RASEENA,ML,Woman,G_PU
Purameri,16,MUTHUVADATHUR,SUMATHI.K.K,SJ(D),General,G_PU
Purameri,17,KOVILAKAM,BINDU PUTHIYOTTIL,CPI(M),Woman,G_PU
Ramanattukara,1,PARUTHIPPARA,HAJIRA BEEVI V.K,ML,Woman,G_RA
Ramanattukara,2,FEROKE COLLEGE POST OFFICE,RAHMATHUNNEESA. K.V,ML,Woman,G_RA
Ramanattukara,3,FEROKE COLLEGE,ZEENATH,SJ(D),Woman,G_RA
Ramanattukara,4,ADIVARAM,PUSHPA. V. M,INC,Woman,G_RA
Ramanattukara,5,RAMANATTUKARA TOWN,P.K.SUHARA,ML,Woman,G_RA
Ramanattukara,6,CHIRAKKAMKUNNU,K. PUSHPA,CPI(M),SC Woman,G_RA
Ramanattukara,7,PANCHAYAT OFFICE,SIVADASAN .P ( MAYA DASAN),CPI(M),General,G_RA
Ramanattukara,8,KOLORKUNNU,VIJAYAN .P. MENON,CPI(M),General,G_RA
Ramanattukara,9,VYDHYARANGADI,POOVANCHERY SUBAIDA,ML,Woman,G_RA
Ramanattukara,10,PULLUMKUNNU,ABDUSSAMAD. K. P,ML,General,G_RA
Ramanattukara,11,PALAKKAMKUNNU,KRISHNAN. C,CPI(M),General,G_RA
Ramanattukara,12,THOTTUNGAL,K.P.A. ASEES,ML,General,G_RA
Ramanattukara,13,MUTTUMKUNNU,GEETHA. C,CPI(M),Woman,G_RA
Ramanattukara,14,THIRICHILANGADI,YAMUNA. K. M,INC,Woman,G_RA
Ramanattukara,15,KOTTAMANGALAM,CHANDRADASAN.K,CPI(M),General,G_RA
Ramanattukara,16,THUMBAPPADAM,GOPI KODAKKALLUPARAMBA,INC,SC,G_RA
Ramanattukara,17,KODAKKALLU,KRISHNAN. P. C,CPI(M),General,G_RA
Ramanattukara,18,CHULLIPARAMBU,JAMEELA. K,CPI(M),Woman,G_RA
Ramanattukara,19,KODAMPUZHA,N.C. HAMSAKOYA,ML,General,G_RA
Thalakulathur,1,ANDIKKODE,SANTHOSH.P,INC,General,G_TA
Thalakulathur,2,MANATHANATH,K.T.PRAMEELA,CPI(M),Woman,G_TA
Thalakulathur,3,ANNASSERY,MINI.K.T,INC,Woman,G_TA
Thalakulathur,4,EDAKKARA,SIVADASAN K.K,CPI(M),General,G_TA
Thalakulathur,5,KOCHAMVALLY,MOHANAN V.K,CPI(M),General,G_TA
Thalakulathur,6,PATTERPALAM,SINDHU P.K,CPI(M),Woman,G_TA
Thalakulathur,7,PARAPPARA,RAJI P.K,CPI(M),Woman,G_TA
Thalakulathur,8,EDAVANAKKUZHI,CHANDRAN NAIR K,NCP,General,G_TA
Thalakulathur,9,PAVAYIL,ANIL K,CPI(M),General,G_TA
Thalakulathur,10,MATHILAKAM,SATHEESAN E.M,SJ(D),SC,G_TA
Thalakulathur,11,PARAMBATH,PRABITHA K.P,INC,SC Woman,G_TA
Thalakulathur,12,MUKKAMKADAVU,SHOBA V.T,INC,Woman,G_TA
Thalakulathur,13,PURAKKATTIRI,SHIMNA P.V,CPI(M),Woman,G_TA
Thalakulathur,14,PALORA,BINDU P,INC,Woman,G_TA
Thalakulathur,15,POOZHIYIL,VIJITHRAN V,CPI,General,G_TA
Thalakulathur,16,CHIRAVALAPPIL,FAIZAL M.P,ML,General,G_TA
Thalakulathur,17,PADANNAKKALAM,SHAHARABANU P.P,CPI(M),Woman,G_TA
Thamarassery,1,THEKKUMTHOTTAM,HAJARA KOLLARUKANDY,ML,Woman,G_TM
Thamarassery,2,VATTAKKORU,THAJUNNISA K,ML,Woman,G_TM
Thamarassery,3,KORANGAD,SUDHA KRISHNAN,ML,Woman,G_TM
Thamarassery,4,CHUNGAM NORTH,JESSY SREENIVASAN,INC,Woman,G_TM
Thamarassery,5,CHUNGAM SOUTH,HABEEB THAMBI,INC,General,G_TM
Thamarassery,6,VEZHUPPUR,SHEREEF,CPI(M),General,G_TM
Thamarassery,7,THAMARASSERY,JOSEPH MATHEW,INC,General,G_TM
Thamarassery,8,KARADI,K V MOHAMMED,ML,General,G_TM
Thamarassery,9,KUDUKKILUMMARAM,RASEENA,ML,Woman,G_TM
Thamarassery,10,ANDONA,SUHARA  E K,ML,Woman,G_TM
Thamarassery,11,RAROTH,PRADEEP KUMAR,INDEPENDENT,SC,G_TM
Thamarassery,12,PARAPPANPOIL EAST,SAFIYA KARATTU,INDEPENDENT,General,G_TM
Thamarassery,13,PARAPPANPOIL WEST,A ARAVINDAN,INC,General,G_TM
Thamarassery,14,CHEMBRA,SAINUL ABIDEEN THANGAL,ML,General,G_TM
Thamarassery,15,KEDAVOOR,T BALAN NAIR,CPI(M),General,G_TM
Thamarassery,16,EARPPONA,VIJILA PRABASH R C,INC,SC Woman,G_TM
Thamarassery,17,THACHAMPOIL,LAILA K V,INC,Woman,G_TM
Thamarassery,18,PALLIPPURAM,SAFIYA,ML,Woman,G_TM
Thamarassery,19,AVELAM,MARIYAM P K,ML,Woman,G_TM
Thikkodi,1,THRIKKOTUR WEST,RUBEENA KHALID,ML,Woman,G_TI
Thikkodi,2,THRIKKOTUR NORTH,SANTHOSH THIKKODI,INC,General,G_TI
Thikkodi,3,PALLIKKARA NORTH,MUKKATHKUNI GOPALAN,INC,SC,G_TI
Thikkodi,4,PALLIKKARA CENTRAL,SREEJA,INC,Woman,G_TI
Thikkodi,5,PALLIKKARA SOUTH,USHA.V.V,CPI(M),Woman,G_TI
Thikkodi,6,PURAKKAD KOPRAKKANDAM,C.HANEEFA MASTER,ML,General,G_TI
Thikkodi,7,KIDANHIKKUNNU,ASHIDA,ML,Woman,G_TI
Thikkodi,8,PURAKKAD,ANSILA CHAKKALAKKAL,INDEPENDENT,Woman,G_TI
Thikkodi,9,PURAKKAD WEST,LAKSHMI.C,CPI(M),Woman,G_TI
Thikkodi,10,KOZHIPPURAM,RAMACHANDRAN,CPI(M),General,G_TI
Thikkodi,11,THIKKOTI TOWN,R.VISWANATHAN,CPI(M),General,G_TI
Thikkodi,12,PALOOR,B.V SAREENA,ML,Woman,G_TI
Thikkodi,13,PALOOR WEST,V.K. ABDUL MAJEED,ML,General,G_TI
Thikkodi,14,THIKKOTI WEST,KUNHAMMED.P.P,ML,General,G_TI
Thikkodi,15,THIKKOTI ANGADI,NIRMALA MADATHIKULANGARA,SJ(D),Woman,G_TI
Thikkodi,16,THRIKKOTUR SOUTH,RAMA,INC,Woman,G_TI
Thikkodi,17,THRIKKOTUR,P.K.VIJAYAN,INC,General,G_TI
Thiruvallur,1,VALLIAD,SREEDHARAN T.H,CPI(M),General,G_TH
Thiruvallur,2,VALLIAD EAST,SURESH K.K,SJ(D),General,G_TH
Thiruvallur,3,PAINGOTAI,ASOKAN P.K,CPI(M),SC,G_TH
Thiruvallur,4,KANNAMBATHKARA,RAJESH PUNNORATH KANDIYIL,INC,General,G_TH
Thiruvallur,5,THIRUVALLUR CENTRE,SAINABA N,ML,Woman,G_TH
Thiruvallur,6,THIRUVALLUR NORTH,REEJA T.M,CPI(M),Woman,G_TH
Thiruvallur,7,THANDOTTI,VENU T.K,CPI(M),General,G_TH
Thiruvallur,8,KANHIRATT THARA,SUBAIDA V.K,ML,Woman,G_TH
Thiruvallur,9,NIDUMBRAMANNA,SREEJA THARAVATTATH,INC,Woman,G_TH
Thiruvallur,10,CHANIYAMKADAV,NISHA,CPI(M),Woman,G_TH
Thiruvallur,11,VELLOOKKARA,KUNHIKANNAN M.T,CPI(M),General,G_TH
Thiruvallur,12,THIRUVALLUR SOUTH,N.K VIDHYAR,CPI(M),General,G_TH
Thiruvallur,13,KANNINADA,SABITHA MANAKKUNI,INC,Woman,G_TH
Thiruvallur,14,THODANNUR NORTH,BIJILA K.M,CPI(M),Woman,G_TH
Thiruvallur,15,THODANNUR TOWN,MUNEER F.M,ML,General,G_TH
Thiruvallur,16,ARYANNUR,T.K SANTHA,CPI(M),Woman,G_TH
Thiruvallur,17,CHEMMARATHUR WEST,GANGADHARAN C,CPI(M),General,G_TH
Thiruvallur,18,CHEMMARATHUR SOUTH,K.M BALAN,CPI(M),General,G_TH
Thiruvallur,19,CHEMMARATHUR NORTH,CHANDRI C.P,CPI,Woman,G_TH
